r [km] 	 vr [km/s] 
23653788.0 	 257.4666442871094
23653772.0 	 257.2633361816406
23653754.0 	 257.5132141113281
23653740.0 	 270.61456298828125
23653722.0 	 259.2501525878906
23653706.0 	 263.78363037109375
23653690.0 	 261.8377685546875
23653672.0 	 258.9049377441406
23653656.0 	 254.44180297851562
23653638.0 	 255.423828125
23653622.0 	 260.0502624511719
23653606.0 	 259.31182861328125
23653588.0 	 259.8530578613281
23653574.0 	 259.5115966796875
23653556.0 	 261.2833557128906
23653540.0 	 257.885986328125
23653522.0 	 257.9849548339844
23653506.0 	 255.19541931152344
23653492.0 	 252.48873901367188
23653472.0 	 268.8339538574219
23653342.0 	 262.0667724609375
23653322.0 	 249.1146240234375
23653240.0 	 257.9264831542969
23653224.0 	 256.3405456542969
23653206.0 	 262.4056091308594
23653192.0 	 255.3389434814453
23653174.0 	 251.7659454345703
23653008.0 	 277.57220458984375
23652876.0 	 273.083984375
23652860.0 	 262.5109558105469
23652842.0 	 258.7490539550781
23652826.0 	 257.7949523925781
23652776.0 	 262.80670166015625
23652694.0 	 261.2983093261719
23652676.0 	 259.49346923828125
23652660.0 	 256.9416198730469
23652644.0 	 255.48236083984375
23652462.0 	 256.0299377441406
23652444.0 	 256.0090637207031
23652394.0 	 261.9623718261719
23652378.0 	 262.6078796386719
23652296.0 	 270.7178955078125
23652146.0 	 254.87631225585938
23651998.0 	 275.2759094238281
23651978.0 	 253.89759826660156
23651964.0 	 258.5903015136719
23651948.0 	 257.5969543457031
23651930.0 	 258.62506103515625
23651914.0 	 271.5840148925781
23651896.0 	 257.2201843261719
23651880.0 	 259.63970947265625
23651630.0 	 268.7712707519531
23651598.0 	 256.0408020019531
23651582.0 	 258.1563415527344
23651566.0 	 258.3126525878906
23651548.0 	 269.869140625
23651532.0 	 263.22711181640625
23651514.0 	 255.45375061035156
23651498.0 	 261.8495788574219
23651480.0 	 261.0671691894531
23651466.0 	 269.67572021484375
23651450.0 	 264.4393005371094
23651432.0 	 267.5191955566406
23651398.0 	 265.3316955566406
23651382.0 	 261.9254455566406
23651366.0 	 260.2301330566406
23651348.0 	 261.0572204589844
23651334.0 	 260.5248107910156
23651316.0 	 264.47381591796875
23651300.0 	 268.582275390625
23651282.0 	 256.0950927734375
23651266.0 	 251.5131072998047
23651218.0 	 257.8873596191406
23651200.0 	 258.7844543457031
23651084.0 	 252.20529174804688
23651000.0 	 265.7987060546875
23650984.0 	 265.3905334472656
23650968.0 	 261.4912109375
23650952.0 	 260.19769287109375
23650934.0 	 261.7701416015625
23650918.0 	 256.99835205078125
23650736.0 	 275.37017822265625
23650720.0 	 275.4208679199219
23650702.0 	 274.94049072265625
23650686.0 	 271.7683410644531
23650668.0 	 272.19781494140625
23650652.0 	 270.0982360839844
23650634.0 	 268.9196472167969
23650618.0 	 268.5147705078125
23650604.0 	 266.824462890625
23650586.0 	 265.484619140625
23650570.0 	 255.09169006347656
23650552.0 	 257.5097961425781
23650536.0 	 275.0840759277344
23650504.0 	 262.3020935058594
23650486.0 	 258.3526916503906
23650436.0 	 257.641845703125
23650420.0 	 254.97837829589844
23650402.0 	 253.63148498535156
23650120.0 	 261.444580078125
23649956.0 	 257.23394775390625
23649938.0 	 256.5281677246094
23649922.0 	 256.3420104980469
23649724.0 	 263.7646179199219
23649706.0 	 258.0123291015625
23649690.0 	 254.2373504638672
23649672.0 	 254.0192413330078
23649658.0 	 254.64105224609375
23649640.0 	 253.8383331298828
23649408.0 	 254.98765563964844
23649392.0 	 249.233154296875
23648180.0 	 262.12933349609375
23648164.0 	 268.7951965332031
23648146.0 	 268.0365905761719
23648132.0 	 264.6326904296875
23648114.0 	 262.3720397949219
23648098.0 	 265.4706115722656
23648080.0 	 270.59356689453125
23648064.0 	 268.6895751953125
23648048.0 	 263.9856262207031
23648032.0 	 261.0355529785156
23648016.0 	 272.4302673339844
23647998.0 	 264.2103576660156
23647982.0 	 265.9613037109375
23647964.0 	 264.249755859375
23647948.0 	 261.6985778808594
23647932.0 	 265.77764892578125
23647914.0 	 266.32867431640625
23647900.0 	 266.9436950683594
23647882.0 	 274.89178466796875
23647866.0 	 275.6083679199219
23647848.0 	 273.80316162109375
23647800.0 	 274.2625427246094
23647766.0 	 265.12982177734375
23647750.0 	 265.5769348144531
23647732.0 	 258.09368896484375
23647716.0 	 280.4403076171875
23647698.0 	 263.33660888671875
23647682.0 	 260.0882263183594
23647668.0 	 253.27301025390625
23647650.0 	 270.65887451171875
23647500.0 	 257.37158203125
23647484.0 	 261.3080139160156
23647466.0 	 264.5809631347656
23647452.0 	 259.70953369140625
23647434.0 	 261.6090087890625
23647418.0 	 260.6325988769531
23647402.0 	 258.7983093261719
23647384.0 	 257.84881591796875
23647370.0 	 260.224365234375
23647350.0 	 258.6427307128906
23647268.0 	 256.3290100097656
23647252.0 	 251.3881378173828
23647220.0 	 247.4258575439453
23647136.0 	 254.22999572753906
23647118.0 	 257.4132080078125
23647002.0 	 270.40960693359375
23646988.0 	 256.44427490234375
23646970.0 	 260.4068908691406
23646954.0 	 256.8131103515625
23646936.0 	 264.5392150878906
23646920.0 	 260.4755554199219
23646902.0 	 255.6722869873047
23646838.0 	 258.3826599121094
23646820.0 	 261.06622314453125
23646804.0 	 272.53070068359375
23646786.0 	 261.1579284667969
23646770.0 	 254.52731323242188
23646756.0 	 258.5671691894531
23646704.0 	 256.3849792480469
23646670.0 	 256.052978515625
23646654.0 	 260.5245056152344
23646636.0 	 257.0372009277344
23646622.0 	 255.65805053710938
23646604.0 	 259.38031005859375
23646588.0 	 256.2715759277344
23646124.0 	 247.6682586669922
23645576.0 	 251.5844268798828
23645030.0 	 253.28695678710938
23644914.0 	 258.9091796875
23644896.0 	 260.1293029785156
23644880.0 	 259.1471862792969
23644698.0 	 266.60064697265625
23644482.0 	 256.28631591796875
23644466.0 	 256.35601806640625
23644416.0 	 257.6723937988281
23644398.0 	 258.4698486328125
23643936.0 	 253.35263061523438
