START:	 25.600000000000094
END:	 25.700000000000095

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
17879474.0	 357.0545349121094	 263.113037109375	 251223.21875
17879444.0	 355.8011474609375	 225.79922485351562	 234015.890625
17879412.0	 356.6667175292969	 235.00440979003906	 250839.4375
17879384.0	 353.7787170410156	 223.78182983398438	 250254.375
17879356.0	 358.673828125	 231.50677490234375	 218690.890625
17879326.0	 357.16259765625	 233.43655395507812	 234832.78125
17879270.0	 358.5007019042969	 242.73219299316406	 266175.375
17879242.0	 353.76190185546875	 231.8999786376953	 279467.5
17879212.0	 356.7308654785156	 244.63230895996094	 244926.671875
17879184.0	 360.583740234375	 229.47802734375	 288612.625
17879154.0	 357.1343994140625	 233.5095977783203	 258016.78125
17879126.0	 354.8804626464844	 247.0330352783203	 293797.5
17879096.0	 352.9320983886719	 231.92420959472656	 253905.703125
17879068.0	 355.2552490234375	 226.5704803466797	 233431.3125
17879010.0	 356.04736328125	 226.7867889404297	 219213.09375
17878954.0	 361.80096435546875	 250.91329956054688	 228788.875
17878926.0	 359.2925720214844	 249.37269592285156	 223748.0
17878896.0	 356.1048583984375	 241.3262176513672	 220772.90625
17878866.0	 357.36468505859375	 245.82347106933594	 243697.546875
17878838.0	 357.1338195800781	 246.0580291748047	 225652.453125
17878808.0	 350.61334228515625	 234.49163818359375	 284651.75
17878780.0	 355.5495910644531	 236.5662841796875	 226293.921875
17878752.0	 356.9882507324219	 235.56948852539062	 224730.53125
17878722.0	 350.2291259765625	 245.411865234375	 274243.46875
17878696.0	 360.2648620605469	 246.3965301513672	 219495.234375
17878664.0	 352.26220703125	 231.47500610351562	 214420.234375
17878636.0	 351.2184753417969	 250.6947479248047	 249537.359375
17878608.0	 353.1319274902344	 238.0255126953125	 229317.5625
17878578.0	 354.5982971191406	 223.58920288085938	 190716.921875
17878548.0	 348.4977111816406	 220.84921264648438	 207192.890625
17878462.0	 350.17596435546875	 236.1535186767578	 199730.78125
17878406.0	 348.0256652832031	 221.6954803466797	 193840.703125
17878378.0	 347.7296447753906	 221.21165466308594	 223404.359375
17878348.0	 348.9033203125	 227.919921875	 201603.078125
17878320.0	 349.68585205078125	 229.23739624023438	 207622.140625
17878290.0	 353.4085998535156	 228.1192626953125	 194007.234375
17878262.0	 348.1785583496094	 250.60781860351562	 248950.03125
17878232.0	 351.8211669921875	 225.28428649902344	 190300.203125
17878204.0	 350.66162109375	 220.58253479003906	 191307.03125
17878176.0	 347.9828186035156	 221.30104064941406	 204328.609375
17878146.0	 350.1698913574219	 229.23333740234375	 212216.75
17878118.0	 350.4048156738281	 230.575927734375	 200644.15625
17878060.0	 350.8490905761719	 224.12950134277344	 194200.84375
17878002.0	 350.78472900390625	 224.1890411376953	 194622.578125
17877974.0	 345.1688537597656	 240.79591369628906	 261024.265625
17877944.0	 348.992919921875	 231.87181091308594	 200026.125
17877916.0	 347.6044616699219	 223.650390625	 200132.46875
17877888.0	 344.1352844238281	 243.6838836669922	 261371.125
17877860.0	 346.8976745605469	 243.69830322265625	 251270.484375
17877828.0	 353.7059020996094	 222.80364990234375	 185503.859375
17877800.0	 347.7490539550781	 241.0912628173828	 226012.53125
17877772.0	 349.0742492675781	 231.6819610595703	 201950.34375
17877744.0	 347.8248291015625	 228.56690979003906	 195294.65625
17877714.0	 342.6794128417969	 229.00827026367188	 254243.5
17877686.0	 349.0514831542969	 231.63633728027344	 208489.1875
17877658.0	 347.3414306640625	 226.98944091796875	 218501.203125
17877626.0	 353.4201354980469	 221.65914916992188	 196944.921875
17877600.0	 349.8935852050781	 225.46095275878906	 189917.328125
17877570.0	 346.73077392578125	 228.02162170410156	 198114.34375
17877542.0	 342.0376892089844	 247.40956115722656	 245681.140625
17877512.0	 341.8096008300781	 223.5899200439453	 202522.59375
17877484.0	 347.2252502441406	 236.50160217285156	 193738.21875
17877456.0	 344.0518493652344	 214.90525817871094	 185156.0625
17877428.0	 347.21954345703125	 230.1075897216797	 197236.75
17877398.0	 348.0681457519531	 221.69741821289062	 193377.890625
17877368.0	 354.26171875	 227.23199462890625	 227698.53125
17877340.0	 348.6463928222656	 238.41897583007812	 197981.890625
17877310.0	 347.11279296875	 217.87152099609375	 228294.484375
17877282.0	 356.38531494140625	 246.1924591064453	 285810.5625
17877254.0	 348.8852233886719	 225.6820068359375	 196288.1875
17877196.0	 349.9756164550781	 224.76675415039062	 213755.0
17877168.0	 351.3611145019531	 249.31703186035156	 245765.203125
17877110.0	 358.0291748046875	 255.109619140625	 236225.0625
17877080.0	 357.1365966796875	 236.76593017578125	 212727.15625
17877052.0	 357.4521789550781	 230.05697631835938	 202513.015625
17877022.0	 348.1060485839844	 236.6930694580078	 204063.734375
17876994.0	 351.7814636230469	 235.5773162841797	 211229.046875
17876964.0	 349.9605407714844	 226.69764709472656	 211895.203125
17876936.0	 349.17889404296875	 224.35826110839844	 211037.734375
17876908.0	 349.19415283203125	 250.81910705566406	 306120.15625
17876878.0	 353.571044921875	 244.03152465820312	 288229.71875
17876850.0	 357.169677734375	 242.17340087890625	 245370.828125
17876822.0	 364.3939514160156	 249.35972595214844	 243032.5
17876792.0	 359.6097717285156	 230.77651977539062	 222140.609375
17876762.0	 357.8379211425781	 228.83241271972656	 274663.4375
17876706.0	 355.2976989746094	 263.65802001953125	 280970.375
17876676.0	 364.6346740722656	 233.07550048828125	 296984.9375
17876648.0	 364.98333740234375	 232.1356201171875	 268264.5
17876620.0	 370.25787353515625	 236.896240234375	 261841.46875
17876592.0	 359.48492431640625	 239.19842529296875	 372409.25
17876562.0	 367.06268310546875	 253.32504272460938	 306879.8125
17876534.0	 366.2523498535156	 233.92694091796875	 296891.65625
17876506.0	 367.5878601074219	 239.50128173828125	 284226.15625
17876474.0	 375.1225280761719	 232.9575653076172	 261506.4375
17876446.0	 370.51788330078125	 239.20945739746094	 294742.90625
17876418.0	 355.39642333984375	 208.40606689453125	 215514.046875
17876390.0	 354.6222839355469	 245.61453247070312	 293518.0
