r [km]	 vr [km/s]	 np [cm-3]	 T [K]
22958030.0	 259.5574951171875	 342.1668395996094	 201029.953125
22958002.0	 284.3940124511719	 481.7146911621094	 330366.28125
22957480.0	 275.2243957519531	 392.7159729003906	 304719.15625
22957076.0	 265.8774108886719	 426.85467529296875	 208786.984375
22957048.0	 253.3973846435547	 385.46124267578125	 189383.546875
22956902.0	 252.68814086914062	 361.4591369628906	 204983.75
22956874.0	 259.1509704589844	 339.8560485839844	 176140.3125
22956846.0	 263.1083068847656	 329.976806640625	 199051.59375
22956816.0	 257.9739990234375	 412.0754089355469	 184000.90625
22956786.0	 267.33428955078125	 457.07916259765625	 334674.90625
22956758.0	 263.5872497558594	 414.81005859375	 262370.75
22956728.0	 264.30474853515625	 324.5097351074219	 195124.375
22956700.0	 258.4012451171875	 324.9679870605469	 179156.203125
22956672.0	 247.76348876953125	 316.75897216796875	 175541.515625
22956642.0	 246.31202697753906	 353.06512451171875	 155713.03125
22956614.0	 250.0040283203125	 330.19775390625	 134159.765625
22956584.0	 248.4534149169922	 310.5943298339844	 174286.6875
22956556.0	 262.6138610839844	 319.44879150390625	 238422.921875
22956470.0	 267.6080322265625	 314.5824890136719	 181521.15625
22956438.0	 259.8863220214844	 484.5582275390625	 218522.828125
22956410.0	 257.6507873535156	 328.0579833984375	 214581.734375
22956382.0	 249.0315399169922	 317.49664306640625	 136176.390625
22956352.0	 249.69595336914062	 314.6834411621094	 145642.4375
22956324.0	 244.25465393066406	 330.675048828125	 140656.875
22956296.0	 242.63352966308594	 322.4833984375	 138197.171875
22956268.0	 247.1417236328125	 314.55682373046875	 159348.09375
22956236.0	 254.41574096679688	 327.7785949707031	 192554.796875
22956208.0	 247.06085205078125	 305.1344909667969	 143247.875
22956180.0	 255.07289123535156	 312.3908996582031	 152291.765625
22956150.0	 259.68994140625	 271.5317687988281	 156335.765625
22956122.0	 251.1000213623047	 322.49993896484375	 169699.109375
22956094.0	 248.34446716308594	 315.77398681640625	 176844.890625
22956064.0	 251.1898651123047	 321.3540344238281	 167002.609375
22956036.0	 243.82359313964844	 309.58795166015625	 146689.046875
22956008.0	 252.6602783203125	 344.194580078125	 189841.71875
22955976.0	 247.34381103515625	 301.7734375	 161359.421875
22955948.0	 253.55931091308594	 300.957275390625	 184423.359375
22955920.0	 257.9659118652344	 296.2992858886719	 174559.515625
22955892.0	 260.1546325683594	 316.1923522949219	 199674.5
22955862.0	 253.94778442382812	 318.1675720214844	 194036.625
22955834.0	 258.05291748046875	 294.1474609375	 167357.390625
22955804.0	 257.5073547363281	 302.15826416015625	 174498.921875
22955774.0	 259.7342529296875	 326.1315612792969	 211111.796875
22955746.0	 266.3157958984375	 295.90875244140625	 255348.015625
22955718.0	 272.30718994140625	 300.98846435546875	 236238.09375
22955688.0	 312.890625	 235.70010375976562	 398096.65625
22955660.0	 332.5506896972656	 221.5120849609375	 383010.84375
22955428.0	 294.1456604003906	 272.1961364746094	 351719.46875
22955398.0	 309.5616149902344	 276.7393798828125	 341562.125
22955372.0	 302.6888732910156	 226.34042358398438	 248293.234375
22955342.0	 298.84979248046875	 261.3036193847656	 298053.03125
22955312.0	 296.3366394042969	 282.36212158203125	 284783.46875
22955284.0	 302.17999267578125	 260.32550048828125	 308944.9375
22955256.0	 302.0809020996094	 253.61976623535156	 284565.03125
22955226.0	 296.1665954589844	 276.7366027832031	 302962.78125
22955196.0	 290.0323181152344	 294.8360900878906	 321179.15625
22955168.0	 291.0487976074219	 278.84002685546875	 316932.40625
22955140.0	 294.6916198730469	 292.565185546875	 304044.78125
22955110.0	 299.86871337890625	 304.8929138183594	 351841.9375
22955082.0	 307.7303466796875	 258.1479797363281	 298817.28125
22955052.0	 303.9423828125	 261.63946533203125	 349884.375
22954878.0	 312.13641357421875	 242.66395568847656	 340172.34375
22954848.0	 309.58966064453125	 242.6542510986328	 333831.8125
22954820.0	 308.4488525390625	 246.77154541015625	 291755.65625
22954794.0	 310.66839599609375	 275.46026611328125	 337572.6875
22954560.0	 302.4457092285156	 242.4792022705078	 252316.625
22954532.0	 307.26043701171875	 244.65940856933594	 275099.875
22954504.0	 310.5635986328125	 262.68475341796875	 325904.0625
22954474.0	 303.72021484375	 262.60369873046875	 323697.90625
22954156.0	 308.7127685546875	 260.29779052734375	 317475.21875
22954128.0	 304.8797912597656	 251.14071655273438	 330539.5
22954098.0	 305.79119873046875	 239.6273956298828	 309315.375
22954070.0	 308.1863708496094	 245.98402404785156	 290308.53125
22954042.0	 308.4178466796875	 250.39381408691406	 289797.40625
22954010.0	 298.81719970703125	 272.2965087890625	 284695.4375
22953982.0	 289.7408447265625	 285.50531005859375	 371473.59375
22953954.0	 300.49432373046875	 282.59454345703125	 338903.46875
22953926.0	 308.16986083984375	 249.7070770263672	 293068.15625
22953896.0	 298.22344970703125	 280.45074462890625	 334964.34375
22953868.0	 294.0548400878906	 299.6404724121094	 337107.53125
22953838.0	 303.8050537109375	 277.64813232421875	 335462.5
22953810.0	 312.41387939453125	 267.29046630859375	 332095.0625
22953780.0	 316.8366394042969	 252.37606811523438	 327714.6875
22953666.0	 300.6718444824219	 256.03997802734375	 278032.71875
22953606.0	 312.8316345214844	 262.42059326171875	 315615.75
22953578.0	 300.0046081542969	 282.12066650390625	 389538.625
22953346.0	 302.8299255371094	 267.241943359375	 366856.0
22953318.0	 307.80902099609375	 262.7638244628906	 302362.875
22953290.0	 317.1772766113281	 237.87673950195312	 314406.3125
22953232.0	 307.268310546875	 278.776123046875	 361616.125
22953202.0	 315.1535949707031	 234.3228302001953	 300469.21875
22953172.0	 315.1955261230469	 253.2281036376953	 342121.875
22953144.0	 309.7174072265625	 266.59368896484375	 367790.375
22953114.0	 314.75701904296875	 246.54795837402344	 334929.4375
22953086.0	 313.1256103515625	 256.9326477050781	 348233.125
22952652.0	 325.4733581542969	 247.92893981933594	 393728.15625
22952334.0	 350.8642883300781	 204.20379638671875	 358029.875
22952306.0	 351.7747802734375	 213.91006469726562	 387489.96875
22952278.0	 345.17779541015625	 220.95986938476562	 371887.96875
