r [Rsol]	 vr_mean [km/s]	 vr_stddev [km/s]	 vr_median [km/s]	 vr_q1 [km/s]	 vr_q3 [km/s]	 rho_mean [cm-3]	 rho_stddev [cm-3]	 rho_median [cm-3]	 rho_q1 [cm-3]	 rho_q3 [cm-3]	 T_mean [K]	 T_stddev [K]	 T_median [K]	 T_q1 [K]	 T_q3 [K]	 # data points
19.35	 285.947	 4.615	 285.851	 282.700	 287.159	 6135.398	 286.302	 6211.850	 5963.176	 6395.785	 74721.414	 6572.700	 75339.320	 71529.840	 76593.012	 7
20.65	 295.715	 7.733	 296.830	 287.439	 302.007	 5532.091	 566.168	 5694.766	 5348.567	 5933.121	 72310.046	 10621.686	 74658.430	 66575.309	 79943.828	 11
20.75	 293.085	 7.599	 292.540	 288.221	 300.674	 5350.633	 485.453	 5420.714	 5028.938	 5579.573	 60316.027	 3731.764	 59944.051	 57973.672	 64122.125	 5
23.35	 273.562	 1.717	 272.925	 272.178	 274.521	 3667.454	 82.924	 3633.854	 3610.903	 3701.228	 50632.857	 1197.058	 50553.062	 49929.064	 51387.670	 7
23.45	 275.115	 2.475	 274.902	 273.028	 276.422	 3586.866	 282.410	 3534.470	 3383.091	 3722.939	 51499.030	 2950.047	 51159.775	 50118.389	 52611.019	 14
23.55	 279.943	 6.268	 276.902	 275.424	 285.932	 3537.941	 208.829	 3480.958	 3450.730	 3578.025	 51098.542	 4719.069	 51196.234	 48245.379	 51557.107	 7
23.65	 286.017	 17.352	 277.998	 274.230	 289.786	 3585.199	 414.789	 3619.896	 3405.968	 3799.126	 51918.539	 13065.496	 49387.512	 44089.568	 57216.482	 4
23.75	 297.075	 35.025	 290.789	 282.888	 301.569	 3953.665	 651.786	 3991.645	 3867.744	 4130.870	 64122.273	 74961.028	 52219.117	 50509.643	 55006.957	 43
23.85	 286.395	 5.925	 285.303	 282.650	 289.370	 3398.696	 181.405	 3324.497	 3303.011	 3514.136	 52695.934	 3781.989	 52505.906	 50586.297	 54488.589	 14
23.95	 221.599	 0.708	 221.599	 221.245	 221.953	 2689.534	 202.409	 2689.534	 2588.330	 2790.739	 106084.539	 2436.602	 106084.539	 104866.238	 107302.840	 2
24.05	 227.702	 3.912	 227.286	 224.245	 231.673	 3125.111	 361.530	 3045.494	 2974.170	 3339.916	 95526.574	 10897.949	 94869.367	 87613.801	 100413.383	 23
25.05	 250.498	 2.245	 250.755	 249.192	 251.932	 2123.738	 58.034	 2157.854	 2099.944	 2164.589	 91668.786	 1406.568	 91863.688	 90860.312	 92574.711	 3
25.15	 237.628	 12.378	 231.198	 229.761	 247.508	 2098.867	 334.914	 2149.632	 1842.468	 2196.445	 118284.081	 7184.984	 117532.410	 115060.027	 119425.342	 6
25.25	 419.691	 78.660	 419.691	 380.361	 459.021	 290.010	 39.474	 290.010	 270.273	 309.746	 454289.688	 15970.594	 454289.688	 446304.391	 462274.984	 2
25.35	 342.686	 6.527	 342.580	 338.493	 346.992	 272.660	 43.447	 260.620	 237.218	 296.316	 312111.937	 41522.414	 308685.906	 279975.961	 345149.086	 40
25.45	 335.565	 11.061	 335.550	 330.512	 341.776	 237.665	 214.797	 218.458	 209.492	 229.399	 228883.738	 35863.645	 223388.062	 201793.656	 253177.656	 1173
25.55	 341.674	 8.740	 341.474	 334.792	 347.878	 212.604	 14.879	 211.992	 202.262	 222.405	 216633.865	 30945.557	 210979.141	 192138.906	 237855.906	 2177
25.65	 355.496	 12.894	 356.331	 345.498	 364.125	 234.889	 26.151	 230.973	 217.427	 247.299	 255551.908	 48955.503	 246247.188	 221004.074	 277318.992	 2192
25.75	 360.080	 18.029	 356.855	 349.933	 366.373	 239.667	 113.505	 230.898	 219.347	 244.936	 295872.550	 121931.148	 264050.312	 234169.461	 311635.398	 2264
