encounter_9:	 EGRESS
r [km]	 vr [km/s]	 np [cm-3]	 T [K]
16685497.0	 222.3069610595703	 2891.943603515625	 108521.140625
20967412.0	 291.5144348144531	 2345.9150390625	 74113.5078125
20967470.0	 285.53631591796875	 2315.5234375	 70916.3984375
20967528.0	 284.4541320800781	 2330.658935546875	 73217.734375
21477164.0	 287.057861328125	 1965.6015625	 75358.84375
21477222.0	 283.43927001953125	 2027.1832275390625	 74899.3359375
21477280.0	 281.4120788574219	 1973.45556640625	 73182.3046875
21477340.0	 281.03863525390625	 1963.7623291015625	 72427.2734375
21477512.0	 282.47869873046875	 1976.5145263671875	 72683.5546875
21477572.0	 279.8382568359375	 1984.7677001953125	 72069.15625
21477628.0	 281.05474853515625	 1950.3177490234375	 72744.90625
21483222.0	 284.5392761230469	 2012.0283203125	 75781.0234375
21483282.0	 287.7235412597656	 2071.852294921875	 80168.046875
21483342.0	 287.34393310546875	 2007.9945068359375	 79821.1953125
21483398.0	 287.9092712402344	 2063.022705078125	 79615.8359375
21483458.0	 285.7119140625	 2009.647216796875	 77820.7734375
21483514.0	 286.5602722167969	 1978.25048828125	 76536.5625
21483574.0	 283.4498596191406	 1951.2080078125	 75781.5703125
21483806.0	 284.2463073730469	 1908.361572265625	 69067.1875
21483864.0	 283.6009521484375	 2056.853515625	 77140.1953125
21483924.0	 285.7469482421875	 2066.845458984375	 81524.4765625
21484098.0	 285.7598571777344	 2091.60107421875	 80793.375
21484274.0	 289.461181640625	 1990.2843017578125	 73782.703125
21484330.0	 291.49237060546875	 2056.983642578125	 77144.296875
21484390.0	 299.3797912597656	 2035.9268798828125	 74303.4765625
21484448.0	 298.9728698730469	 1975.66015625	 71607.328125
21484506.0	 298.2762451171875	 1942.03857421875	 71130.3125
21484564.0	 286.4421081542969	 2001.520751953125	 71859.875
21484624.0	 286.41497802734375	 2103.586181640625	 77545.203125
21484680.0	 287.247802734375	 2022.311767578125	 69903.6171875
21484740.0	 284.65087890625	 2036.4716796875	 71157.96875
21484796.0	 290.0306396484375	 2079.053466796875	 73052.4140625
21484856.0	 291.2374267578125	 2098.529052734375	 75586.0859375
21484914.0	 292.2084045410156	 2056.83056640625	 74339.0859375
21484972.0	 291.5290832519531	 1930.556640625	 67566.9140625
21485030.0	 291.4515380859375	 2037.2042236328125	 72045.9140625
21485088.0	 283.4282531738281	 2113.4736328125	 73458.1015625
21485146.0	 290.12469482421875	 2069.252197265625	 70948.1171875
21485206.0	 291.6892395019531	 1961.5181884765625	 68911.171875
21485262.0	 292.2935791015625	 1868.376708984375	 69366.640625
21485322.0	 290.7669677734375	 1996.2701416015625	 70443.2265625
21485378.0	 289.1297302246094	 2046.9710693359375	 70859.75
21485440.0	 288.59765625	 2050.252685546875	 71770.6796875
21485496.0	 292.43048095703125	 2035.99560546875	 74172.4765625
21485788.0	 284.0032653808594	 2004.132568359375	 70484.21875
21485846.0	 285.0489501953125	 2043.40478515625	 74048.515625
21485904.0	 286.2550964355469	 2030.70263671875	 71464.34375
21485962.0	 287.91827392578125	 2027.035888671875	 69213.5625
21486022.0	 289.4450378417969	 1985.8271484375	 68829.7734375
21514746.0	 292.8465270996094	 1979.369140625	 90621.4609375
21514806.0	 306.38323974609375	 2119.26025390625	 99626.90625
21514862.0	 311.3713073730469	 1841.489501953125	 83311.90625
21514922.0	 307.83831787109375	 2297.9736328125	 76066.515625
21514980.0	 306.7772216796875	 2200.84375	 70318.71875
21515036.0	 301.510498046875	 2233.879638671875	 73008.3203125
21515096.0	 297.14141845703125	 2255.975830078125	 71887.1171875
21515154.0	 307.3213195800781	 2260.369873046875	 68921.96875
21515212.0	 294.45892333984375	 2236.376220703125	 69481.28125
21515270.0	 295.0769348144531	 2288.73876953125	 71985.0625
21515330.0	 291.8741455078125	 2212.66748046875	 72718.0625
21515386.0	 293.24432373046875	 2149.0078125	 79480.2890625
21515446.0	 295.553955078125	 2160.107177734375	 82541.109375
21515504.0	 292.0733337402344	 2084.586669921875	 81571.7578125
21515562.0	 291.2488708496094	 2370.11669921875	 70531.3203125
21515620.0	 292.5020751953125	 2280.461181640625	 70486.546875
21515678.0	 291.5129699707031	 2237.808837890625	 81913.6328125
21515738.0	 288.3244323730469	 2322.149658203125	 68126.4140625
21515794.0	 288.3022766113281	 2350.437255859375	 75223.1015625
21515854.0	 289.35540771484375	 2355.407958984375	 71187.5
21515910.0	 297.3494873046875	 2335.111572265625	 66491.984375
21515970.0	 285.71148681640625	 2204.77490234375	 60084.58984375
21516028.0	 293.51171875	 2263.3583984375	 64448.37109375
21516088.0	 288.5834045410156	 2320.578125	 65802.5390625
21516144.0	 284.5357666015625	 2382.8271484375	 66612.0859375
21516202.0	 284.5139465332031	 2322.02099609375	 67611.640625
21516262.0	 284.66986083984375	 2330.13330078125	 68929.9296875
21516318.0	 286.1830139160156	 2351.673583984375	 68074.8671875
21516378.0	 285.83575439453125	 2328.12744140625	 64577.7890625
21516434.0	 282.517333984375	 2345.789794921875	 66062.453125
21516494.0	 281.3570556640625	 2319.679443359375	 66953.15625
21516612.0	 283.93865966796875	 2303.3203125	 66859.671875
21516668.0	 283.35064697265625	 2353.27490234375	 66664.46875
21517368.0	 280.9461364746094	 2422.287353515625	 63879.015625
21517426.0	 279.9312744140625	 2386.04833984375	 63464.59375
21517544.0	 278.82861328125	 2399.22900390625	 63658.81640625
21517600.0	 281.49407958984375	 2371.97509765625	 64916.75390625
21517660.0	 277.63153076171875	 2363.92822265625	 62678.45703125
21519116.0	 280.2498779296875	 2316.84912109375	 66084.125
