"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7912e+07,0,2.784e+07,2e+06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.5823e+07,0,5.568e+07,4e+06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.3735e+07,0,8.352e+07,6e+06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.1165e+08,0,1.1136e+08,8e+06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3956e+08,0,1.392e+08,1e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6747e+08,0,1.6704e+08,1.2e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9538e+08,0,1.9488e+08,1.4e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2329e+08,0,2.2272e+08,1.6e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.5121e+08,0,2.5056e+08,1.8e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7912e+08,0,2.784e+08,2e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0703e+08,0,3.0624e+08,2.2e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.3494e+08,0,3.3408e+08,2.4e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6285e+08,0,3.6192e+08,2.6e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.9076e+08,0,3.8976e+08,2.8e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.1868e+08,0,4.176e+08,3e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.4659e+08,0,4.4544e+08,3.2e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.745e+08,0,4.7328e+08,3.4e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.0241e+08,0,5.0112e+08,3.6e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.3032e+08,0,5.2896e+08,3.8e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.5823e+08,0,5.568e+08,4e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.8615e+08,0,5.8464e+08,4.2e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.1406e+08,0,6.1248e+08,4.4e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.4197e+08,0,6.4032e+08,4.6e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.6988e+08,0,6.6816e+08,4.8e+07
-4.001e-10,1.4863e-05,-4.4181e-05,6.2976,12.921,-3.6413,-14.081,1.6988e-06,6.6146e+08,1.4745,1.5217,0,-17.972,-15629,-5414.7,1,6.9779e+08,0,6.96e+08,5e+07
-4.7266e-10,1.3544e-05,-3.9767e-05,6.2964,12.909,-3.6548,-14.093,1.0114e-06,6.8943e+08,1.4745,1.5217,0,-21.067,-16168,-6026.5,1,7.2571e+08,0,7.2384e+08,5.2e+07
-5.4522e-10,1.2226e-05,-3.5353e-05,6.2951,12.896,-3.6684,-14.105,3.2394e-07,7.1739e+08,1.4745,1.5217,0,-24.162,-16707,-6638.3,1,7.5362e+08,0,7.5168e+08,5.4e+07
-4.7358e-10,1.1079e-05,-3.0817e-05,6.2933,12.878,-3.6888,-14.124,2.8159e-08,7.4535e+08,1.4745,1.5217,0,-18.218,-13277,-5988.2,1,7.8153e+08,0,7.7952e+08,5.6e+07
-2.8428e-10,1.0073e-05,-2.6182e-05,6.2909,12.854,-3.715,-14.148,5.198e-08,7.7331e+08,1.4745,1.5217,0,-4.8984,-6608.7,-4308.4,1,8.0944e+08,0,8.0736e+08,5.8e+07
-9.1661e-11,9.0762e-06,-2.1578e-05,6.2885,12.83,-3.7412,-14.171,7.5274e-08,8.0126e+08,1.4745,1.5217,0,8.6593,-49.288,-2666.9,1,8.3735e+08,0,8.352e+08,6e+07
2.7323e-10,8.5701e-06,-1.8562e-05,6.2858,12.803,-3.7716,-14.199,7.1144e-08,8.2921e+08,1.4745,1.5217,0,34.613,837.87,-3015.9,1,8.6526e+08,0,8.6304e+08,6.2e+07
6.3813e-10,8.064e-06,-1.5546e-05,6.283,12.775,-3.8019,-14.227,6.7014e-08,8.5716e+08,1.4745,1.5217,0,60.566,1725,-3364.8,1,8.9318e+08,0,8.9088e+08,6.4e+07
1.2923e-09,7.7011e-06,-1.31e-05,6.2799,12.744,-3.8364,-14.258,5.286e-08,8.8511e+08,1.4745,1.5217,0,98.139,3263,-4004,1,9.2109e+08,0,9.1872e+08,6.6e+07
2.2512e-09,7.4888e-06,-1.1256e-05,6.2764,12.709,-3.8751,-14.293,2.815e-08,9.1306e+08,1.4745,1.5217,0,147.95,5486.5,-4948.9,1,9.49e+08,0,9.4656e+08,6.8e+07
3.2101e-09,7.2766e-06,-9.411e-06,6.2728,12.673,-3.9138,-14.328,3.4394e-09,9.4101e+08,1.4745,1.5217,0,197.76,7710,-5893.8,1,9.7691e+08,0,9.744e+08,7e+07
4.9631e-09,7.2211e-06,-8.295e-06,6.2688,12.633,-3.9581,-14.369,1.4682e-09,9.6895e+08,1.4745,1.5217,0,280.09,11759,-7564.5,1,1.0048e+09,0,1.0022e+09,7.2e+07
6.7534e-09,7.173e-06,-7.213e-06,6.2647,12.592,-4.0028,-14.409,5.6233e-10,9.9689e+08,1.4745,1.5217,0,363.95,15894,-9269.2,1,1.0327e+09,0,1.0301e+09,7.4e+07
8.7243e-09,7.1412e-06,-6.3114e-06,6.2606,12.551,-4.0482,-14.45,3.3458e-11,1.0248e+09,1.4745,1.5217,0,461.32,20755,-11112,1,1.0606e+09,0,1.0579e+09,7.6e+07
1.0941e-08,7.1316e-06,-5.6553e-06,6.2564,12.509,-4.0946,-14.493,1.7942e-11,1.0528e+09,1.4745,1.5217,0,577.06,26604,-13144,1,1.0886e+09,0,1.0858e+09,7.8e+07
1.3158e-08,7.122e-06,-4.9991e-06,6.2522,12.467,-4.141,-14.535,2.425e-12,1.0807e+09,1.4745,1.5217,0,692.8,32453,-15176,1,1.1165e+09,0,1.1136e+09,8e+07
1.5177e-08,7.0918e-06,-4.5365e-06,6.2481,12.426,-4.1861,-14.576,5.0837e-13,1.1087e+09,1.4745,1.5217,0,825.53,39194,-16943,1,1.1444e+09,0,1.1414e+09,8.2e+07
1.7173e-08,7.0592e-06,-4.0975e-06,6.244,12.385,-4.2311,-14.617,2.446e-13,1.1366e+09,1.4745,1.5217,0,960.33,46042,-18678,1,1.1723e+09,0,1.1693e+09,8.4e+07
1.8973e-08,7.0123e-06,-3.7016e-06,6.24,12.345,-4.275,-14.657,6.7842e-14,1.1645e+09,1.4745,1.5217,0,1097.3,52961,-20191,1,1.2002e+09,0,1.1971e+09,8.6e+07
2.0426e-08,6.9402e-06,-3.3822e-06,6.2362,12.307,-4.3169,-14.695,4.5862e-14,1.1925e+09,1.4745,1.5217,0,1238.3,60004,-21308,1,1.2281e+09,0,1.225e+09,8.8e+07
2.1879e-08,6.868e-06,-3.0628e-06,6.2324,12.269,-4.3588,-14.733,2.3881e-14,1.2204e+09,1.4745,1.5217,0,1379.2,67048,-22426,1,1.256e+09,0,1.2528e+09,9e+07
2.2906e-08,6.7709e-06,-2.8071e-06,6.2288,12.233,-4.3979,-14.768,1.6416e-14,1.2483e+09,1.4745,1.5217,0,1518.6,73866,-23031,1,1.2839e+09,0,1.2806e+09,9.2e+07
2.3846e-08,6.6686e-06,-2.5646e-06,6.2253,12.198,-4.4364,-14.803,1.1965e-14,1.2763e+09,1.4745,1.5217,0,1657.7,80638,-23531,1,1.3119e+09,0,1.3085e+09,9.4e+07
2.4676e-08,6.5605e-06,-2.3381e-06,6.2219,12.164,-4.4738,-14.837,8.3798e-15,1.3042e+09,1.4745,1.5217,0,1795.2,87281,-23897,1,1.3398e+09,0,1.3363e+09,9.6e+07
2.5245e-08,6.4389e-06,-2.1495e-06,6.2187,12.132,-4.5089,-14.869,6.85e-15,1.3321e+09,1.4745,1.5217,0,1929.2,93617,-23950,1,1.3677e+09,0,1.3642e+09,9.8e+07
2.5815e-08,6.3172e-06,-1.9609e-06,6.2155,12.1,-4.5441,-14.901,5.3202e-15,1.3601e+09,1.4745,1.5217,0,2063.2,99953,-24002,1,1.3956e+09,0,1.392e+09,1e+08
2.6183e-08,6.1877e-06,-1.8022e-06,6.2126,12.071,-4.5768,-14.931,4.4158e-15,1.388e+09,1.4745,1.5217,0,2192.6,1.0593e+05,-23839,1,1.4235e+09,0,1.4198e+09,1.02e+08
2.6488e-08,6.0559e-06,-1.6528e-06,6.2097,12.041,-4.6088,-14.96,3.7041e-15,1.4159e+09,1.4745,1.5217,0,2320.6,1.1179e+05,-23610,1,1.4514e+09,0,1.4477e+09,1.04e+08
2.675e-08,5.9235e-06,-1.5108e-06,6.2068,12.013,-4.6403,-14.989,3.0666e-15,1.4439e+09,1.4745,1.5217,0,2447.1,1.1755e+05,-23339,1,1.4793e+09,0,1.4755e+09,1.06e+08
2.6866e-08,5.7892e-06,-1.3933e-06,6.2041,11.986,-4.6696,-15.015,2.674e-15,1.4718e+09,1.4745,1.5217,0,2568.7,1.2296e+05,-22934,1,1.5072e+09,0,1.5034e+09,1.08e+08
2.6982e-08,5.655e-06,-1.2758e-06,6.2015,11.959,-4.699,-15.042,2.2813e-15,1.4997e+09,1.4745,1.5217,0,2690.3,1.2838e+05,-22529,1,1.5351e+09,0,1.5312e+09,1.1e+08
2.7002e-08,5.5221e-06,-1.1758e-06,6.1989,11.934,-4.7269,-15.068,1.9949e-15,1.5276e+09,1.4745,1.5217,0,2808.3,1.3353e+05,-22059,1,1.5631e+09,0,1.559e+09,1.12e+08
2.6979e-08,5.3899e-06,-1.0832e-06,6.1964,11.909,-4.7542,-15.092,1.7537e-15,1.5556e+09,1.4745,1.5217,0,2925,1.3858e+05,-21561,1,1.591e+09,0,1.5869e+09,1.14e+08
2.6941e-08,5.2585e-06,-9.9349e-07,6.194,11.885,-4.7812,-15.117,1.5264e-15,1.5835e+09,1.4745,1.5217,0,3040.9,1.4357e+05,-21049,1,1.6189e+09,0,1.6147e+09,1.16e+08
2.6825e-08,5.131e-06,-9.1802e-07,6.1917,11.862,-4.8066,-15.14,1.3673e-15,1.6114e+09,1.4745,1.5217,0,3153.6,1.4829e+05,-20468,1,1.6468e+09,0,1.6426e+09,1.18e+08
2.671e-08,5.0036e-06,-8.4255e-07,6.1894,11.838,-4.8321,-15.163,1.2083e-15,1.6394e+09,1.4745,1.5217,0,3266.4,1.53e+05,-19886,1,1.6747e+09,0,1.6704e+09,1.2e+08
2.6555e-08,4.8805e-06,-7.7555e-07,6.1871,11.816,-4.8565,-15.185,1.0808e-15,1.6673e+09,1.4745,1.5217,0,3376.8,1.5752e+05,-19255,1,1.7026e+09,0,1.6982e+09,1.22e+08
2.6378e-08,4.7599e-06,-7.1337e-07,6.185,11.795,-4.8803,-15.207,9.7142e-16,1.6952e+09,1.4745,1.5217,0,3485.9,1.6191e+05,-18594,1,1.7305e+09,0,1.7261e+09,1.24e+08
2.6196e-08,4.6399e-06,-6.5239e-07,6.1828,11.773,-4.9039,-15.228,8.6537e-16,1.7231e+09,1.4745,1.5217,0,3594.8,1.6627e+05,-17929,1,1.7584e+09,0,1.7539e+09,1.26e+08
2.5973e-08,4.5266e-06,-6.0162e-07,6.1808,11.753,-4.9262,-15.249,7.8774e-16,1.7511e+09,1.4745,1.5217,0,3701,1.7036e+05,-17229,1,1.7864e+09,0,1.7818e+09,1.28e+08
2.575e-08,4.4132e-06,-5.5085e-07,6.1788,11.733,-4.9485,-15.269,7.1011e-16,1.779e+09,1.4745,1.5217,0,3807.2,1.7445e+05,-16530,1,1.8143e+09,0,1.8096e+09,1.3e+08
2.551e-08,4.3042e-06,-5.0538e-07,6.1768,11.713,-4.97,-15.288,6.4448e-16,1.8069e+09,1.4745,1.5217,0,3912,1.7837e+05,-15822,1,1.8422e+09,0,1.8374e+09,1.32e+08
2.5258e-08,4.1983e-06,-4.6386e-07,6.1749,11.694,-4.991,-15.308,5.8777e-16,1.8349e+09,1.4745,1.5217,0,4015.9,1.8218e+05,-15109,1,1.8701e+09,0,1.8653e+09,1.34e+08
2.5005e-08,4.0927e-06,-4.2266e-07,6.173,11.675,-5.0119,-15.327,5.3166e-16,1.8628e+09,1.4745,1.5217,0,4119.7,1.8598e+05,-14395,1,1.898e+09,0,1.8931e+09,1.36e+08
2.4738e-08,3.9941e-06,-3.8867e-07,6.1712,11.657,-5.0317,-15.345,4.8926e-16,1.8907e+09,1.4745,1.5217,0,4221.6,1.8954e+05,-13680,1,1.9259e+09,0,1.921e+09,1.38e+08
2.4471e-08,3.8956e-06,-3.5467e-07,6.1694,11.639,-5.0516,-15.363,4.4687e-16,1.9186e+09,1.4745,1.5217,0,4323.5,1.931e+05,-12965,1,1.9538e+09,0,1.9488e+09,1.4e+08
2.4201e-08,3.8006e-06,-3.238e-07,6.1676,11.621,-5.0709,-15.38,4.0963e-16,1.9466e+09,1.4745,1.5217,0,4424.6,1.9655e+05,-12255,1,1.9817e+09,0,1.9766e+09,1.42e+08
2.3927e-08,3.709e-06,-2.9593e-07,6.1659,11.604,-5.0897,-15.397,3.7734e-16,1.9745e+09,1.4745,1.5217,0,4524.9,1.9988e+05,-11550,1,2.0096e+09,0,2.0045e+09,1.44e+08
2.3654e-08,3.6175e-06,-2.6805e-07,6.1642,11.587,-5.1085,-15.414,3.4505e-16,2.0024e+09,1.4745,1.5217,0,4625.2,2.0321e+05,-10844,1,2.0376e+09,0,2.0323e+09,1.46e+08
2.338e-08,3.5324e-06,-2.4513e-07,6.1626,11.571,-5.1264,-15.431,3.1991e-16,2.0303e+09,1.4745,1.5217,0,4724.1,2.0634e+05,-10162,1,2.0655e+09,0,2.0602e+09,1.48e+08
2.3106e-08,3.4475e-06,-2.2232e-07,6.161,11.555,-5.1443,-15.447,2.9493e-16,2.0583e+09,1.4745,1.5217,0,4823,2.0947e+05,-9479.6,1,2.0934e+09,0,2.088e+09,1.5e+08
2.2834e-08,3.3654e-06,-2.0154e-07,6.1594,11.539,-5.1618,-15.463,2.7237e-16,2.0862e+09,1.4745,1.5217,0,4921.4,2.1251e+05,-8818,1,2.1213e+09,0,2.1158e+09,1.52e+08
2.2564e-08,3.2869e-06,-1.8328e-07,6.1578,11.523,-5.1788,-15.478,2.5282e-16,2.1141e+09,1.4745,1.5217,0,5019.1,2.1545e+05,-8181.8,1,2.1492e+09,0,2.1437e+09,1.54e+08
2.2295e-08,3.2083e-06,-1.6502e-07,6.1563,11.508,-5.1959,-15.494,2.3326e-16,2.142e+09,1.4745,1.5217,0,5116.8,2.1838e+05,-7545.5,1,2.1771e+09,0,2.1715e+09,1.56e+08
2.2032e-08,3.1353e-06,-1.5019e-07,6.1548,11.493,-5.2122,-15.509,2.1743e-16,2.17e+09,1.4745,1.5217,0,5213.6,2.2115e+05,-6949.8,1,2.205e+09,0,2.1994e+09,1.58e+08
2.1769e-08,3.0629e-06,-1.3568e-07,6.1533,11.478,-5.2284,-15.523,2.0195e-16,2.1979e+09,1.4745,1.5217,0,5310.4,2.2391e+05,-6357.9,1,2.2329e+09,0,2.2272e+09,1.6e+08
2.151e-08,2.9925e-06,-1.2209e-07,6.1519,11.464,-5.2444,-15.538,1.8765e-16,2.2258e+09,1.4745,1.5217,0,5406.8,2.266e+05,-5770.7,1,2.2609e+09,0,2.255e+09,1.62e+08
2.1255e-08,2.9255e-06,-1.1e-07,6.1505,11.449,-5.26,-15.552,1.7525e-16,2.2537e+09,1.4745,1.5217,0,5502.6,2.292e+05,-5191,1,2.2888e+09,0,2.2829e+09,1.64e+08
2.1e-08,2.8586e-06,-9.7902e-08,6.149,11.435,-5.2755,-15.566,1.6285e-16,2.2817e+09,1.4745,1.5217,0,5598.5,2.318e+05,-4611.3,1,2.3167e+09,0,2.3107e+09,1.66e+08
2.0752e-08,2.7958e-06,-8.7272e-08,6.1477,11.422,-5.2906,-15.58,1.5246e-16,2.3096e+09,1.4745,1.5217,0,5693.7,2.3428e+05,-4030.1,1,2.3446e+09,0,2.3386e+09,1.68e+08
2.0505e-08,2.7337e-06,-7.6899e-08,6.1463,11.408,-5.3055,-15.593,1.4242e-16,2.3375e+09,1.4745,1.5217,0,5788.7,2.3674e+05,-3448.6,1,2.3725e+09,0,2.3664e+09,1.7e+08
2.026e-08,2.6731e-06,-6.7006e-08,6.145,11.395,-5.3203,-15.607,1.3297e-16,2.3654e+09,1.4745,1.5217,0,5883.6,2.3916e+05,-2868.4,1,2.4004e+09,0,2.3942e+09,1.72e+08
2.002e-08,2.6154e-06,-5.8136e-08,6.1437,11.382,-5.3347,-15.62,1.2477e-16,2.3934e+09,1.4745,1.5217,0,5977.9,2.415e+05,-2291,1,2.4283e+09,0,2.4221e+09,1.74e+08
1.9781e-08,2.5578e-06,-4.9266e-08,6.1424,11.369,-5.3491,-15.633,1.1657e-16,2.4213e+09,1.4745,1.5217,0,6072.3,2.4383e+05,-1713.5,1,2.4562e+09,0,2.4499e+09,1.76e+08
1.9547e-08,2.5033e-06,-4.1466e-08,6.1411,11.356,-5.3631,-15.646,1.0952e-16,2.4492e+09,1.4745,1.5217,0,6166.1,2.4608e+05,-1145.5,1,2.4841e+09,0,2.4778e+09,1.78e+08
1.9316e-08,2.4497e-06,-3.3954e-08,6.1398,11.343,-5.3769,-15.658,1.0278e-16,2.4771e+09,1.4745,1.5217,0,6259.8,2.483e+05,-579.95,1,2.5121e+09,0,2.5056e+09,1.8e+08
1.9086e-08,2.397e-06,-2.6748e-08,6.1386,11.331,-5.3907,-15.671,9.633e-17,2.5051e+09,1.4745,1.5217,0,6353.4,2.5049e+05,-18.732,1,2.54e+09,0,2.5334e+09,1.82e+08
1.8861e-08,2.3471e-06,-2.0432e-08,6.1374,11.318,-5.4041,-15.683,9.0747e-17,2.533e+09,1.4745,1.5217,0,6446.4,2.526e+05,529.97,1,2.5679e+09,0,2.5613e+09,1.84e+08
1.8636e-08,2.2972e-06,-1.4117e-08,6.1361,11.306,-5.4175,-15.695,8.5163e-17,2.5609e+09,1.4745,1.5217,0,6539.5,2.5472e+05,1078.7,1,2.5958e+09,0,2.5891e+09,1.86e+08
1.8418e-08,2.2497e-06,-8.5455e-09,6.1349,11.294,-5.4306,-15.707,8.0255e-17,2.5888e+09,1.4745,1.5217,0,6632.1,2.5676e+05,1613.7,1,2.6237e+09,0,2.617e+09,1.88e+08
1.8201e-08,2.2032e-06,-3.2587e-09,6.1338,11.283,-5.4436,-15.719,7.5604e-17,2.6168e+09,1.4745,1.5217,0,6724.6,2.5877e+05,2143.5,1,2.6516e+09,0,2.6448e+09,1.9e+08
1.7985e-08,2.1573e-06,1.8605e-09,6.1326,11.271,-5.4565,-15.731,7.1098e-17,2.6447e+09,1.4745,1.5217,0,6817,2.6077e+05,2669.6,1,2.6795e+09,0,2.6726e+09,1.92e+08
1.7776e-08,2.1139e-06,6.2741e-09,6.1314,11.259,-5.4691,-15.742,6.7202e-17,2.6726e+09,1.4745,1.5217,0,6909,2.6269e+05,3180.1,1,2.7074e+09,0,2.7005e+09,1.94e+08
1.7567e-08,2.0705e-06,1.0688e-08,6.1303,11.248,-5.4817,-15.754,6.3306e-17,2.7005e+09,1.4745,1.5217,0,7001,2.6462e+05,3690.7,1,2.7354e+09,0,2.7283e+09,1.96e+08
