"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7912e+07,0,2e+06,2.784e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.5823e+07,0,4e+06,5.568e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.3735e+07,0,6e+06,8.352e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.1165e+08,0,8e+06,1.1136e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3956e+08,0,1e+07,1.392e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6747e+08,0,1.2e+07,1.6704e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9538e+08,0,1.4e+07,1.9488e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2329e+08,0,1.6e+07,2.2272e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.5121e+08,0,1.8e+07,2.5056e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7912e+08,0,2e+07,2.784e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0703e+08,0,2.2e+07,3.0624e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.3494e+08,0,2.4e+07,3.3408e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6285e+08,0,2.6e+07,3.6192e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.9076e+08,0,2.8e+07,3.8976e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.1868e+08,0,3e+07,4.176e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.4659e+08,0,3.2e+07,4.4544e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.745e+08,0,3.4e+07,4.7328e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.0241e+08,0,3.6e+07,5.0112e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.3032e+08,0,3.8e+07,5.2896e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.5823e+08,0,4e+07,5.568e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.8615e+08,0,4.2e+07,5.8464e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.1406e+08,0,4.4e+07,6.1248e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.4197e+08,0,4.6e+07,6.4032e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.6988e+08,0,4.8e+07,6.6816e+08
5.1508e-09,1.2631e-05,0.00012978,6.2909,12.854,-3.7153,-14.148,2.3822e-06,6.6146e+08,0.042841,1.5217,0,63.555,3024.4,23625,1,6.9779e+08,0,5e+07,6.96e+08
6.8737e-09,1.1512e-05,0.00011773,6.2841,12.786,-3.7903,-14.216,1.4096e-06,6.8943e+08,0.042841,1.5217,0,90.918,5271.8,46474,1,7.2571e+08,0,5.2e+07,7.2384e+08
8.5965e-09,1.0394e-05,0.00010568,6.2772,12.717,-3.8653,-14.284,4.3709e-07,7.1739e+08,0.042841,1.5217,0,118.28,7519.3,69323,1,7.5362e+08,0,5.4e+07,7.5168e+08
9.089e-09,9.4194e-06,9.5609e-05,6.2695,12.64,-3.9502,-14.361,7.0186e-11,7.4535e+08,0.042841,1.5217,0,133.54,9802.7,94500,1,7.8153e+08,0,5.6e+07,7.7952e+08
8.5775e-09,8.5615e-06,8.716e-05,6.2611,12.556,-4.0432,-14.446,3.7076e-11,7.7331e+08,0.042841,1.5217,0,138.93,12116,1.2157e+05,1,8.0944e+08,0,5.8e+07,8.0736e+08
8.0688e-09,7.7081e-06,7.8756e-05,6.2526,12.471,-4.1361,-14.53,4.5648e-12,8.0126e+08,0.042841,1.5217,0,144.36,14425,1.4857e+05,1,8.3735e+08,0,6e+07,8.352e+08
7.7013e-09,7.0892e-06,7.262e-05,6.2448,12.393,-4.2223,-14.609,3.1889e-12,8.2921e+08,0.042841,1.5217,0,151.75,16551,1.7128e+05,1,8.6526e+08,0,6.2e+07,8.6304e+08
7.3337e-09,6.4704e-06,6.6485e-05,6.237,12.314,-4.3085,-14.687,1.813e-12,8.5716e+08,0.042841,1.5217,0,159.15,18677,1.94e+05,1,8.9318e+08,0,6.4e+07,8.9088e+08
6.9801e-09,5.9279e-06,6.1119e-05,6.2298,12.243,-4.3876,-14.759,9.8236e-13,8.8511e+08,0.042841,1.5217,0,166.27,20502,2.1378e+05,1,9.2109e+08,0,6.6e+07,9.1872e+08
6.6412e-09,5.4658e-06,5.6565e-05,6.2233,12.178,-4.4592,-14.824,7.2584e-13,9.1306e+08,0.042841,1.5217,0,173.12,22012,2.3048e+05,1,9.49e+08,0,6.8e+07,9.4656e+08
