"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7912e+07,0,2e+06,2.784e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.5823e+07,0,4e+06,5.568e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.3735e+07,0,6e+06,8.352e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.1165e+08,0,8e+06,1.1136e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3956e+08,0,1e+07,1.392e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6747e+08,0,1.2e+07,1.6704e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9538e+08,0,1.4e+07,1.9488e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2329e+08,0,1.6e+07,2.2272e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.5121e+08,0,1.8e+07,2.5056e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7912e+08,0,2e+07,2.784e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0703e+08,0,2.2e+07,3.0624e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.3494e+08,0,2.4e+07,3.3408e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6285e+08,0,2.6e+07,3.6192e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.9076e+08,0,2.8e+07,3.8976e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.1868e+08,0,3e+07,4.176e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.4659e+08,0,3.2e+07,4.4544e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.745e+08,0,3.4e+07,4.7328e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.0241e+08,0,3.6e+07,5.0112e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.3032e+08,0,3.8e+07,5.2896e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.5823e+08,0,4e+07,5.568e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.8615e+08,0,4.2e+07,5.8464e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.1406e+08,0,4.4e+07,6.1248e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.4197e+08,0,4.6e+07,6.4032e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.6988e+08,0,4.8e+07,6.6816e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.9779e+08,0,5e+07,6.96e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.2571e+08,0,5.2e+07,7.2384e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.5362e+08,0,5.4e+07,7.5168e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.8153e+08,0,5.6e+07,7.7952e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.0944e+08,0,5.8e+07,8.0736e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.3735e+08,0,6e+07,8.352e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.6526e+08,0,6.2e+07,8.6304e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.9318e+08,0,6.4e+07,8.9088e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.2109e+08,0,6.6e+07,9.1872e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.49e+08,0,6.8e+07,9.4656e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.7691e+08,0,7e+07,9.744e+08
5.9188e-09,4.4766e-06,4.849e-05,6.1698,12.066,-4.6242,-14.936,3.7978e-13,9.6895e+08,0.042063,1.5217,0,189.36,24405,2.5608e+05,1,1.0048e+09,0,7.2e+07,1.0022e+09
5.7352e-09,4.2168e-06,4.5019e-05,6.162,12.014,-4.6844,-14.988,2.9191e-13,9.9689e+08,0.042466,1.5217,0,195.79,25358,2.6756e+05,1,1.0327e+09,0,7.4e+07,1.0301e+09
5.4965e-09,3.9261e-06,4.1889e-05,6.1547,11.965,-4.7404,-15.037,2.2437e-13,1.0248e+09,0.042519,1.5217,0,202.34,26185,2.7776e+05,1,1.0606e+09,0,7.6e+07,1.0579e+09
