"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.784e+07,0,2.784e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.568e+07,0,5.568e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.352e+07,0,8.352e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.1136e+08,0,1.1136e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.392e+08,0,1.392e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6704e+08,0,1.6704e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9488e+08,0,1.9488e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2272e+08,0,2.2272e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.5056e+08,0,2.5056e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.784e+08,0,2.784e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0624e+08,0,3.0624e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.3408e+08,0,3.3408e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6192e+08,0,3.6192e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.8976e+08,0,3.8976e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.176e+08,0,4.176e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.4544e+08,0,4.4544e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.7328e+08,0,4.7328e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.0112e+08,0,5.0112e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.2896e+08,0,5.2896e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.568e+08,0,5.568e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.8464e+08,0,5.8464e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.1248e+08,0,6.1248e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.4032e+08,0,6.4032e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.6816e+08,0,6.6816e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.96e+08,0,6.96e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.2384e+08,0,7.2384e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.5168e+08,0,7.5168e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.7952e+08,0,7.7952e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.0736e+08,0,8.0736e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.352e+08,0,8.352e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.6304e+08,0,8.6304e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.9088e+08,0,8.9088e+08,0
2.4584e-10,5.0898e-08,-1.3365e-05,6.9205,11.919,-4.0208,-15.083,1.216e-09,8.8247e+08,1.5463,1.5217,0,-77.177,-3611.1,1964.5,1,9.1872e+08,0,9.1872e+08,0
2.5381e-10,4.4002e-08,-1.1437e-05,6.9634,11.857,-4.0394,-15.144,1.1253e-09,9.1033e+08,1.5463,1.5217,0,-75.827,-2601.5,1470.5,1,9.4656e+08,0,9.4656e+08,0
2.6179e-10,3.7106e-08,-9.5093e-06,7.0062,11.796,-4.0579,-15.206,1.0345e-09,9.382e+08,1.5463,1.5217,0,-74.476,-1592,976.47,1,9.744e+08,0,9.744e+08,0
2.6601e-10,3.3103e-08,-8.2751e-06,7.0121,11.761,-4.0865,-15.24,9.8718e-10,9.6606e+08,1.5463,1.5217,0,-67.635,-34.669,665.11,1,1.0022e+09,0,1.0022e+09,0
2.6958e-10,2.9592e-08,-7.1591e-06,7.0116,11.732,-4.1167,-15.27,9.472e-10,9.9393e+08,1.5463,1.5217,0,-59.859,1616,384.87,1,1.0301e+09,0,1.0301e+09,0
2.7023e-10,2.6716e-08,-6.188e-06,7.0055,11.706,-4.148,-15.295,8.1331e-10,1.0218e+09,1.5463,1.5217,0,-49.017,3126.4,168.32,1,1.0579e+09,0,1.0579e+09,0
2.6453e-10,2.5222e-08,-5.5316e-06,6.9873,11.691,-4.1815,-15.311,4.7551e-10,1.0496e+09,1.5463,1.5217,0,-31.515,4332.3,90.036,1,1.0858e+09,0,1.0858e+09,0
2.5883e-10,2.3728e-08,-4.8752e-06,6.9691,11.676,-4.215,-15.326,1.3771e-10,1.0775e+09,1.5463,1.5217,0,-14.013,5538.3,11.751,1,1.1136e+09,0,1.1136e+09,0
2.4501e-10,2.3197e-08,-4.3989e-06,6.9481,11.663,-4.2493,-15.339,4.4141e-11,1.1054e+09,1.5463,1.5217,0,15.824,7512,-42.005,1,1.1414e+09,0,1.1414e+09,0
