"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.784e+07,0,2.784e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.568e+07,0,5.568e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.352e+07,0,8.352e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.1136e+08,0,1.1136e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.392e+08,0,1.392e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6704e+08,0,1.6704e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9488e+08,0,1.9488e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2272e+08,0,2.2272e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.5056e+08,0,2.5056e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.784e+08,0,2.784e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0624e+08,0,3.0624e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.3408e+08,0,3.3408e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6192e+08,0,3.6192e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.8976e+08,0,3.8976e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.176e+08,0,4.176e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.4544e+08,0,4.4544e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.7328e+08,0,4.7328e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.0112e+08,0,5.0112e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.2896e+08,0,5.2896e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.568e+08,0,5.568e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.8464e+08,0,5.8464e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.1248e+08,0,6.1248e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.4032e+08,0,6.4032e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.6816e+08,0,6.6816e+08,0
9.5819e-11,2.3523e-07,-4.3857e-05,6.6958,13.193,-2.9712,-13.809,2.0648e-06,6.5946e+08,1.5463,1.5217,0,-26.204,-25726,402.87,1,6.96e+08,0,6.96e+08,0
1.7819e-10,1.9954e-07,-3.8159e-05,6.7316,13.15,-2.9784,-13.852,1.2487e-06,6.8734e+08,1.5463,1.5217,0,-26.988,-26057,631.89,1,7.2384e+08,0,7.2384e+08,0
2.6057e-10,1.6385e-07,-3.2461e-05,6.7675,13.107,-2.9856,-13.895,4.3264e-07,7.1522e+08,1.5463,1.5217,0,-27.771,-26388,860.9,1,7.5168e+08,0,7.5168e+08,0
3.4859e-10,1.3694e-07,-2.7156e-05,6.7859,13.06,-3.0141,-13.942,1.5044e-09,7.431e+08,1.5463,1.5217,0,-11.344,-19931,1061.1,1,7.7952e+08,0,7.7952e+08,0
4.4295e-10,1.1986e-07,-2.2291e-05,6.7849,13.009,-3.0664,-13.993,1.5403e-09,7.7098e+08,1.5463,1.5217,0,24.361,-5873.3,1229,1,8.0736e+08,0,8.0736e+08,0
5.373e-10,1.0278e-07,-1.7426e-05,6.7838,12.957,-3.1187,-14.044,1.5761e-09,7.9886e+08,1.5463,1.5217,0,60.066,8184.9,1397,1,8.352e+08,0,8.352e+08,0
5.8698e-10,7.3092e-08,-1.4851e-05,6.7785,12.918,-3.1636,-14.084,9.9902e-10,8.2673e+08,1.5463,1.5217,0,125.88,16573,1573.9,1,8.6304e+08,0,8.6304e+08,0
6.3344e-10,4.2497e-08,-1.2441e-05,6.773,12.879,-3.2081,-14.123,3.7761e-10,8.546e+08,1.5463,1.5217,0,193.88,24551,1751.4,1,8.9088e+08,0,8.9088e+08,0
6.3745e-10,1.1951e-08,-1.0467e-05,6.7668,12.841,-3.2518,-14.16,6.2336e-13,8.8247e+08,1.5463,1.5217,0,273.68,33715,1897.6,1,9.1872e+08,0,9.1872e+08,0
5.7603e-10,-1.8518e-08,-9.1634e-06,6.7598,12.806,-3.2946,-14.196,3.4586e-13,9.1033e+08,1.5463,1.5217,0,371.68,44707,1995.5,1,9.4656e+08,0,9.4656e+08,0
5.1461e-10,-4.8987e-08,-7.86e-06,6.7528,12.77,-3.3373,-14.232,6.8359e-14,9.382e+08,1.5463,1.5217,0,469.68,55699,2093.3,1,9.744e+08,0,9.744e+08,0
3.994e-10,-7.6536e-08,-7.0174e-06,6.7461,12.736,-3.3776,-14.265,2.0187e-14,9.6606e+08,1.5463,1.5217,0,583.73,67656,2134,1,1.0022e+09,0,1.0022e+09,0
2.7502e-10,-1.0359e-07,-6.2532e-06,6.7395,12.703,-3.4174,-14.299,1.1092e-14,9.9393e+08,1.5463,1.5217,0,700.52,79778,2165,1,1.0301e+09,0,1.0301e+09,0
1.4931e-10,-1.2868e-07,-5.5724e-06,6.733,12.671,-3.4564,-14.331,4.4593e-15,1.0218e+09,1.5463,1.5217,0,819.83,91938,2186.3,1,1.0579e+09,0,1.0579e+09,0
