"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.784e+07,0,2.784e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.568e+07,0,5.568e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.352e+07,0,8.352e+07,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.1136e+08,0,1.1136e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.392e+08,0,1.392e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6704e+08,0,1.6704e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9488e+08,0,1.9488e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2272e+08,0,2.2272e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.5056e+08,0,2.5056e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.784e+08,0,2.784e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0624e+08,0,3.0624e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.3408e+08,0,3.3408e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6192e+08,0,3.6192e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.8976e+08,0,3.8976e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.176e+08,0,4.176e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.4544e+08,0,4.4544e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.7328e+08,0,4.7328e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.0112e+08,0,5.0112e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.2896e+08,0,5.2896e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.568e+08,0,5.568e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.8464e+08,0,5.8464e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.1248e+08,0,6.1248e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.4032e+08,0,6.4032e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.6816e+08,0,6.6816e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.96e+08,0,6.96e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.2384e+08,0,7.2384e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.5168e+08,0,7.5168e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.7952e+08,0,7.7952e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.0736e+08,0,8.0736e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.352e+08,0,8.352e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.6304e+08,0,8.6304e+08,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.9088e+08,0,8.9088e+08,0
1.3159e-09,1.266e-07,-1.226e-05,6.765,12.173,-3.9218,-14.828,7.2261e-10,8.8247e+08,1.5463,1.5217,0,-68.61,-3532.3,4055.5,1,9.1872e+08,0,9.1872e+08,0
1.4106e-09,1.1529e-07,-1.0436e-05,6.7934,12.121,-3.9453,-14.88,7.3542e-10,9.1033e+08,1.5463,1.5217,0,-63.955,-1798.9,3274.3,1,9.4656e+08,0,9.4656e+08,0
1.5052e-09,1.0398e-07,-8.6129e-06,6.8217,12.069,-3.9688,-14.932,7.4823e-10,9.382e+08,1.5463,1.5217,0,-59.3,-65.515,2493.2,1,9.744e+08,0,9.744e+08,0
1.6098e-09,9.809e-08,-7.5109e-06,6.818,12.042,-4.0003,-14.96,5.372e-10,9.6606e+08,1.5463,1.5217,0,-47.166,1592.6,2004.4,1,1.0022e+09,0,1.0022e+09,0
1.7161e-09,9.3123e-08,-6.532e-06,6.8089,12.018,-4.0332,-14.984,2.8802e-10,9.9393e+08,1.5463,1.5217,0,-33.757,3237.9,1565.5,1,1.0301e+09,0,1.0301e+09,0
1.8288e-09,8.9245e-08,-5.6821e-06,6.7965,11.997,-4.0667,-15.005,1.0362e-10,1.0218e+09,1.5463,1.5217,0,-15.885,4917.4,1216.8,1,1.0579e+09,0,1.0579e+09,0
1.9557e-09,8.7731e-08,-5.1124e-06,6.7769,11.981,-4.1016,-15.02,5.9887e-11,1.0496e+09,1.5463,1.5217,0,11.677,6670.9,1064.1,1,1.0858e+09,0,1.0858e+09,0
2.0826e-09,8.6218e-08,-4.5428e-06,6.7573,11.966,-4.1365,-15.035,1.6156e-11,1.0775e+09,1.5463,1.5217,0,39.238,8424.4,911.37,1,1.1136e+09,0,1.1136e+09,0
2.2015e-09,8.3223e-08,-4.1264e-06,6.7373,11.951,-4.1717,-15.051,4.5735e-12,1.1054e+09,1.5463,1.5217,0,81.896,10925,841.66,1,1.1414e+09,0,1.1414e+09,0
