"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.784e+07,0,0,2.784e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.568e+07,0,0,5.568e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.352e+07,0,0,8.352e+07
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.1136e+08,0,0,1.1136e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.392e+08,0,0,1.392e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6704e+08,0,0,1.6704e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9488e+08,0,0,1.9488e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2272e+08,0,0,2.2272e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.5056e+08,0,0,2.5056e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.784e+08,0,0,2.784e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0624e+08,0,0,3.0624e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.3408e+08,0,0,3.3408e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6192e+08,0,0,3.6192e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.8976e+08,0,0,3.8976e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.176e+08,0,0,4.176e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.4544e+08,0,0,4.4544e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.7328e+08,0,0,4.7328e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.0112e+08,0,0,5.0112e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.2896e+08,0,0,5.2896e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.568e+08,0,0,5.568e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.8464e+08,0,0,5.8464e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.1248e+08,0,0,6.1248e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.4032e+08,0,0,6.4032e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.6816e+08,0,0,6.6816e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.96e+08,0,0,6.96e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.2384e+08,0,0,7.2384e+08
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.5168e+08,0,0,7.5168e+08
-1.1616e-11,8.0293e-09,8.8177e-05,4.8788,12.474,-5.5072,-14.528,2.7135e-08,7.431e+08,-0.024544,1.5217,0,-0.33177,-0.67728,5409.1,1,7.7952e+08,0,0,7.7952e+08
-1.0267e-11,1.6296e-08,8.0293e-05,5.4583,12.379,-5.0231,-14.623,1.9447e-08,7.7098e+08,-0.024544,1.5217,0,-0.36312,-0.71691,16638,1,8.0736e+08,0,0,8.0736e+08
-8.919e-12,2.4562e-08,7.2409e-05,6.0377,12.283,-4.539,-14.718,1.176e-08,7.9886e+08,-0.024544,1.5217,0,-0.39448,-0.75654,27867,1,8.352e+08,0,0,8.352e+08
-7.9145e-12,3.1559e-08,6.6552e-05,6.155,12.168,-4.5373,-14.834,7.1309e-09,8.2673e+08,-0.024544,1.5217,0,-0.43679,-0.846,50593,1,8.6304e+08,0,0,8.6304e+08
-6.9349e-12,3.8464e-08,6.0841e-05,6.2389,12.051,-4.5704,-14.951,2.7232e-09,8.546e+08,-0.024544,1.5217,0,-0.4799,-0.93906,74150,1,8.9088e+08,0,0,8.9088e+08
-5.8474e-12,4.3246e-08,5.5713e-05,6.3137,11.934,-4.6118,-15.067,4.2959e-11,8.8247e+08,-0.024544,1.5217,0,-0.52186,-1.0248,1.0107e+05,1,9.1872e+08,0,0,9.1872e+08
-4.5934e-12,4.4758e-08,5.1485e-05,6.3747,11.819,-4.6657,-15.182,2.4963e-11,9.1033e+08,-0.024544,1.5217,0,-0.56204,-1.0993,1.3316e+05,1,9.4656e+08,0,0,9.4656e+08
-3.3395e-12,4.6271e-08,4.7257e-05,6.4357,11.705,-4.7197,-15.297,6.9666e-12,9.382e+08,-0.024544,1.5217,0,-0.60222,-1.1739,1.6525e+05,1,9.744e+08,0,0,9.744e+08
-2.1393e-12,4.5923e-08,4.3914e-05,6.4759,11.605,-4.7787,-15.396,3.2537e-12,9.6606e+08,-0.024544,1.5217,0,-0.64111,-1.2304,1.9787e+05,1,1.0022e+09,0,0,1.0022e+09
-9.483e-13,4.5259e-08,4.0722e-05,6.5126,11.509,-4.8386,-15.493,1.9744e-12,9.9393e+08,-0.024544,1.5217,0,-0.67977,-1.2839,2.3059e+05,1,1.0301e+09,0,0,1.0301e+09
